Like_Id,title,Likes,Dislikes,TEDViews,YouTubeViews,Ratings,,,,
1,How great leaders inspire action,65000,1000,34309432,4456309,98.48484848,,,,
2,The power of vulnerability,74928,1532,31168150,2052286,97.99633795,,,,
3,"Looks aren't everything. Believe me, I'm a model.",172279,6552,19787465,13137587,96.33620569,,,,
4,What makes a good life? Lessons from the longest study on happiness,85148,1782,16601927,8075952,97.95007477,,,,
5,The happy secret to better work,22501,281,16209727,1290746,98.7665701,,,,
6,The orchestra in my mouth,126334,3254,8688241,7510927,97.48896503,,,,
7,10 ways to have a better conversation,80988,1094,8444981,3897065 ,98.66718647,,,,
8,"A Saudi, an Indian and an Iranian walk into a Qatari bar ...",50812,3262,8105311,6468128,93.96752598,,,,
9,"Depression, the secret we share",63938,846,7265611,2602019,98.69412201,,,,
10,The power of believing that you can improve,23254,555,6569493,1754909 ,97.66894872,,,,
11,A 12-year-old app developer,51101,3852,6503775,1550060,92.99037359,,,,
12,Why you will fail to have a great career,45368,1785,5917201,5319077,96.21445083,,,,
13,What makes us feel good about our work?,6313,86,5319077,533584,98.65604001,,,,
14,Why we all need to practice emotional first aid,19920,159,4984884,774801,99.20812789,,,,
15,Why work doesn't happen at work,7586,286,4908787,2255033,96.36686992,,,,
16,How to find work you love,46764,1599,4811180,4658597 ,96.69375349,,,,
17,Your brain on video games,77305,4935,4682458,3350408,93.99927043,,,,
18,Why some of us don't have one true calling,6845,75,4456309,318067 ,98.91618497,,,,
19,What you don't know about marriage,933,61,4384497,34309432,93.86317907,,,,
20,The mathematics of love,8655,227,4340117,623603 ,97.44426931,,,,
21,The best kindergarten youâ€™ve ever seen,7080,80,4160772,800620 ,98.88268156,,,,
22,How movies teach manhood,39961,4485,4146987,1648458,89.90910318,,,,
23,Why domestic violence victims don't leave,14373,604,3846779,1603488,95.96714963,,,,
24,Love -- you're doing it wrong,3666,196,3840850,407962 ,94.92490937,,,,
25,How to make work-life balance work,3697,69,3813685,1948196,98.16781731,,,,
26,Nature. Beauty. Gratitude.,2971,59,3658158,136777,98.05280528,,,,
27,The mad scientist of music,30363,6059,3600582,2969560,83.36445006,,,,
28,Moral behavior in animals,13352,206,3578701,1182977,98.48060186,,,,
29,How to buy happiness,3485,126,3539952,1172298,96.51066187,,,,
30,What I learned from 100 days of rejection,52793,351,3464767,1277369,99.33953033,,,,
31,The career advice you probably didnâ€™t get,1717,68,3404977,187559 ,96.19047619,,,,
32,The nerd's guide to learning everything online,0,0,3361105,0,0,,,,
33,How to use a paper towel,11773,1079,3270359,7265611,91.60441955,,,,
34,How to speak up for yourself,5296,196,3225186,311872 ,96.43117261,,,,
35,Does money make you mean?,5839,270,3213217,496554,95.58029137,,,,
36,Why you think you're right -- even if you're wrong,11107,288,3210972,410303 ,97.47257569,,,,
37,How to live to be 100+,1000,44,3157446,6503775,95.78544061,,,,
38,Why some people find exercise harder than others,3368,462,3143653,328828 ,87.93733681,,,,
39,Everyday leadership,1198,18,3119947,1243218,98.51973684,,,,
40,Falling in love is the easy part,5184,352,3098476,575786 ,93.6416185,,,,
41,Lessons from death row inmates,22568,737,3024826,1318454,96.8375885,,,,
42,Confessions of a depressed comic,4414,70,2954036,784631,98.43889384,,,,
43,"Robots with ""soul""",10635,976,2931366,1520447,91.59417793,,,,
44,The 3 A's of awesome,2005,64,2859644,2032751,96.90671822,,,,
45,Want to help someone? Shut up and listen!,6519,64,2829484,378974,99.02779888,,,,
46,The incredible inventions of intuitive AI,47005,1577,2759051,1735293,96.75394179,,,,
47,The shared experience of absurdity,6743,74,2758792,1573440,98.91447851,,,,
48,Want to be happier? Stay in the moment,3835,262,2723934,527761,93.60507689,,,,
49,Fifty shades of gay,14613,358,2679698,524201,97.60871017,,,,
50,We're all hiding something. Let's find the courage to open up,2881,162,2628178,204711 ,94.67630628,,,,
51,Photos that bear witness to modern slavery,3037,91,2586606,233675,97.09079284,,,,
52,A shark-deterrent wetsuit (and it's not what you think),2343,84,2572038,307823 ,96.53893696,,,,
53,Who controls the world?,11477,1091,2533881,2212265,91.31922342,,,,
54,The linguistic genius of babies,1934,67,2513242,1917442,96.65167416,,,,
55,"I'm not your inspiration, thank you very much",9000,135,2494615,627314 ,98.52216749,,,,
56,Math class needs a makeover,3000,47,2465179,4384497,98.45749918,,,,
57,A girl who demanded school,2106,37,2460131,97722,98.27344844,,,,
58,"10 myths about psychology, debunked",3608,396,2446992,323232 ,90.10989011,,,,
59,Are we born to run?,6085,213,2434842,1977165,96.61797396,,,,
60,Perspective is everything,6774,99,2371897,6503775,98.55958097,,,,
61,Life's third act,1508,362,2370111,1466095,80.64171123,,,,
62,The 4 stories we tell ourselves about death,8629,596,2255033,624619,93.53929539,,,,
63,Why I love a country that once betrayed me,19374,651,2235902,859511 ,96.74906367,,,,
64,How I learned to read -- and trade stocks -- in prison,23801,268,2198889,624610,98.88653455,,,,
65,The wonderful and terrifying implications of computers that can learn,5482,115,2183690,429481 ,97.94532785,,,,
66,What's wrong with our food system,13652,674,2152734,2198889,95.29526735,,,,
67,Religions and babies,8332,213,2138419,4456309,97.50731422,,,,
68,How my mind came back to life â€” and no one knew,4634,55,2094497,205890 ,98.82704201,,,,
69,The world's most boring television ... and why it's hilariously addictive,3324,59,2065196,197722 ,98.25598581,,,,
70,Deep sea diving ... in a wheelchair,2581,132,2052286,359611,95.13453741,,,,
71,How to defend Earth from asteroids,2422,53,2042272,1531265,97.85858586,,,,
72,Israel and Iran: A love story?,7287,298,2033797,391213,96.07119314,,,,
73,"Know your worth, and then ask for it",3081,473,2032751,164796,86.69105234,,,,
74,How to get better at the things you care about,9613,122,2031509,291330,98.74678993,,,,
